catalog-number,class-info,class-info href,class-info 2,class-section,class-days,time,ENRL/MAX,class-status
POL 541,Judicial Politics,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=012704,Class #22281,S01,W,01:30 pm - 04:20 pm,15-Jun,
POL 544,"Introduction to American Politics, Part I: Political Behavior",https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=005415,Class #22282,S01,M,01:30 pm - 04:20 pm,13/20,
POL 551,Seminar in International Politics,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=005422,Class #22283,S01,Th,01:30 pm - 04:20 pm,13/15,
POL 568,Hegel and Marx,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=015613,Class #22429,L01,T,01:30 pm - 02:30 pm,20/20,Closed
POL 571,Quantitative Analysis I,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=005436,Class #22286,L01,M W,09:00 am - 10:20 am,15-Oct,
POL 571,Quantitative Analysis I,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=005436,Class #23177,L02,M W,10:30 am - 11:50 am,15-Oct,
POL 573 / SOC 595,Quantitative Analysis III,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=008559,Class #22288,L01,M W,10:30 am - 11:50 am,15-Oct,
POL 573 / SOC 595,Quantitative Analysis III,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=008559,Class #23230,L02,T,07:00 pm - 09:30 pm,15-May,
POL 576,Formal Political Analysis II,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=005439,Class #22290,L01,T Th,10:30 am - 11:50 am,20-Jul,
POL 581,Advanced Political Institutions,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=011955,Class #22285,S01,Th,01:30 pm - 04:20 pm,20-May,
POL 591,Directed Research,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=005442,Class #22369,S01,TBA,,15/30,
POL 599,Responsible Conduct of Research in Political Science,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=011660,Class #22370,S01,TBA,,20/50,
POP 501 / SOC 531,Survey of Population Problems,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=001471,Class #22894,L01,T,01:30 pm - 04:30 pm,12-Sep,
POP 503,Evaluation of Demographic Research,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=009934,Class #22895,S01,W,09:00 am - 12:00 pm,12-Apr,
POR 101,Introduction to Portuguese I,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=011445,Class #21243,C01,M T W Th,09:00 am - 09:50 am,10-May,
POR 106,Introduction to Portuguese for Spanish Speakers,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=005536,Class #21244,C01,M W F,10:00 am - 10:50 am,10-Jul,
POR 106,Introduction to Portuguese for Spanish Speakers,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=005536,Class #21245,C02,M W F,11:00 am - 11:50 am,10-Mar,
POR 106,Introduction to Portuguese for Spanish Speakers,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=005536,Class #21246,C03,M W F,12:30 pm - 01:20 pm,10-Aug,
POR 107,Intermediate Portuguese,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=015202,Class #21247,C01,M T W Th,12:30 pm - 01:20 pm,10-Apr,
POR 109,Intermediate Portuguese for Spanish Speakers,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=009103,Class #21253,C01,M W F,11:00 am - 11:50 am,0/0,Canceled
POR 109,Intermediate Portuguese for Spanish Speakers,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=009103,Class #21254,C02,M W F,12:30 pm - 01:20 pm,12-Oct,
POR 199,Intensive Portuguese,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=010597,Class #21256,C01,T Th,11:00 am - 12:20 pm,10-Oct,Closed
POR 208,Journeys in Portuguese: Studies in Language and Culture,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=009104,Class #21255,C01,T Th,01:30 pm - 02:50 pm,10-Jun,
POR 304 / LAS 311,Topics in Brazilian Cultural and Social History: Performing Brazilian Culture,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=009317,Class #21122,C01,M W,07:30 pm - 08:50 pm,22-Nov,
POR 562 / LAS 562,Luso-Brazilian Seminar: The Story as Gift,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=005541,Class #21061,S01,M,01:30 pm - 04:20 pm,14/18,
PSY 101,Introduction to Psychology,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=005558,Class #20774,L01,M,11:00 am - 11:50 am,73/75,
PSY 101,Introduction to Psychology,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=005558,Class #20774,L01,,,73/75,
PSY 252,Social Psychology,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=005587,Class #20779,L01,M W,02:30 pm - 03:20 pm,124/210,
PSY 255 / CGS 255,Cognitive Psychology,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=005591,Class #20795,L01,W,11:00 am - 11:50 am,61/90,
PSY 255 / CGS 255,Cognitive Psychology,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=005591,Class #20795,L01,,,61/90,
PSY 300,Research Methods in Psychology,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=012437,Class #20802,L01,M,03:30 pm - 04:20 pm,18/50,
PSY 300,Research Methods in Psychology,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=012437,Class #20802,L01,,,18/50,
PSY 300,Research Methods in Psychology,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=012437,Class #24211,L02,,,18/30,
PSY 300,Research Methods in Psychology,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=012437,Class #24211,L02,W,12:30 pm - 01:20 pm,18/30,
PSY 307,Educational Psychology,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=005602,Class #20806,S01,W,01:30 pm - 04:20 pm,15/20,
PSY 316 / NEU 316,The Cognitive Neuroscience of Selective Attention,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=012087,Class #20938,L01,T Th,11:00 am - 12:20 pm,18/25,Closed
PSY 338 / NEU 338,From Animal Learning to Changing People's Minds,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=010982,Class #22672,L01,T Th,03:00 pm - 04:20 pm,16/24,Closed
PSY 400,Topics in Social and Personality Psychology: Developmental Origins of Life Outcomes,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=005629,Class #20807,S01,M,01:30 pm - 04:20 pm,18/20,Closed
PSY 402,Attitudes and Persuasion,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=014735,Class #22247,S01,T,01:30 pm - 04:20 pm,13/15,Closed
PSY 409,Cyborg Psychology,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=015015,Class #24246,S01,Th,07:30 pm - 10:20 pm,0/15,
PSY 420,Selected Topics in Psychotherapy Research,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=014026,Class #20808,S01,M,01:30 pm - 04:20 pm,15/18,
PSY 454 / COS 454,Probabilistic Models of Cognition,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=015709,Class #22746,L01,T Th,11:00 am - 12:20 pm,48/50,Closed
PSY 501,Proseminar in Basic Problems in Psychology:  Cognitive Psychology,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=008766,Class #20733,S01,T,01:30 pm - 04:20 pm,13/20,
PSY 503,Foundations of Psychological Methods,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=005664,Class #20734,S01,M W,10:00 am - 11:20 am,13/19,
PSY 505,Advances in Statistical Methods and Research Practices in Psychology,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=015760,Class #23113,S01,T,11:00 am - 01:00 pm,20-Dec,
PSY 543,Research Seminar in Cognitive Psychology,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=005695,Class #20735,S01,W,12:00 pm - 01:20 pm,26/26,Closed
PSY 551,Design and Interpretation of Social Psychological Research,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=005702,Class #20736,S01,M,12:00 pm - 01:20 pm,16/25,
QCB 302,Research Topics in QCB,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=012834,Class #22155,S01,T,07:30 pm - 09:20 pm,20-Jul,
QCB 455 / MOL 455 / COS 455,Introduction to Genomics and Computational Molecular Biology,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=010185,Class #22156,L01,,,56/55,Closed
QCB 505 / PHY 555,Topics in Biophysics and Quantitative Biology: Statistical Mechanics for Biological Networks,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=013317,Class #22238,C01,T,09:30 am - 12:20 pm,24/30,
QCB 515 / PHY 570 / EEB 517 / CHM 517 / MOL 515,Method and Logic in Quantitative Biology,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=009523,Class #22157,S01,T,01:30 pm - 04:30 pm,28/30,
REL 228 / EAS 228,Religion in Japanese Culture,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=005958,Class #21191,L01,M W,10:00 am - 10:50 am,61/60,Closed
REL 244 / NES 244 / MED 246,"Judaism, Christianity, and Islam: Their Emergence in Antiquity",https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=014712,Class #21194,L01,T Th,11:00 am - 11:50 am,21/∞,
REL 246 / JDS 246,Ancient Judaism from Alexander to the Rise of Islam,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=011608,Class #21196,C01,T Th,04:30 pm - 05:50 pm,0/0,Canceled
REL 264 / CHV 264 / PHI 264,Religion and Reason,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=015215,Class #21199,L01,M W,12:30 pm - 01:20 pm,81/110,
REL 304 / CHV 304,Religion and Modern Moral Philosophy,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=015669,Class #22556,S01,T,01:30 pm - 04:20 pm,0/0,Canceled
REL 308 / MED 316 / HUM 313 / AAS 340,Christians and Incarceration,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=015701,Class #22708,S01,Th,01:30 pm - 04:20 pm,0/0,Canceled
REL 324,Mind and Meditation,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=010957,Class #22626,S01,M,01:30 pm - 03:20 pm,13/15,
REL 354 / JDS 354,Advanced Biblical Hebrew: Violence and the State in the Hebrew Bible,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=015753,Class #23091,C01,M,11:00 am - 12:20 pm,Feb-30,
REL 354 / JDS 354,Advanced Biblical Hebrew: Violence and the State in the Hebrew Bible,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=015753,Class #23091,C01,F,09:00 am - 10:20 am,Feb-30,
REL 355 / HLS 356,"The Apostle Paul in Text and Context: His Letters, His Communities, and His Interpreters",https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=011323,Class #21231,S01,W,01:30 pm - 04:20 pm,0/0,Canceled
REL 364 / HUM 364 / GSS 338,Love and Justice,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=008519,Class #21211,S01,M,01:30 pm - 04:20 pm,13/15,
REL 377 / AAS 376 / AMS 378,Race and Religion in America,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=010652,Class #21167,S01,T,01:30 pm - 04:20 pm,0/0,Canceled
REL 383,American Scriptures,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=013098,Class #21214,L01,T Th,10:00 am - 10:50 am,18/∞,
REL 399,Junior Colloquium,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=013336,Class #21203,C01,W F,11:00 am - 12:20 pm,25-Apr,
REL 502,Philosophy and the Study of Religion,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=006062,Class #21213,S01,F,10:00 am - 12:50 pm,14/20,
REL 504,"Studies in Greco-Roman Religions: Group Formation, Ritual, and Politics:  Who's In? Who's Out?",https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=006064,Class #21204,S01,Th,01:30 pm - 04:20 pm,10-Apr,
REL 505 / AAS 505,Studies in the Religions of the Americas: African American Religious History,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=006065,Class #21189,S01,T,01:30 pm - 04:20 pm,10-May,
REL 509 / NES 510 / GSS 509,Studies in the History of Islam: Legal Categories and Social Realities,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=008532,Class #21212,S01,T,10:00 am - 12:50 pm,10-Feb,
REL 513,Studies in Ancient Judaism: Otherworldly Journeys in Ancient Jewish and Christian Literature,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=011956,Class #21190,S01,W,01:30 pm - 04:20 pm,10-Jul,
REL 517,Religion and Public Life,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=006515,Class #22732,S01,T,12:00 pm - 01:20 pm,30-Apr,
REL 518,Religion and Critical Thought Workshop,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=010486,Class #21205,S01,Th,10:00 am - 11:30 am,15-May,
REL 521,Religion and Culture Workshop,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=009388,Class #21206,S01,M,12:00 pm - 01:20 pm,10-Mar,
REL 523,Religion in the Americas Workshop,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=010562,Class #21207,S01,Th,03:00 pm - 04:20 pm,10-Jan,
REL 525,Religions of Late Antiquity Workshop,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=011448,Class #21208,S01,T,12:00 pm - 01:30 pm,10-May,
REL 527,Asian Religions Workshop,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=014352,Class #22621,S01,M,07:30 pm - 09:00 pm,15-Jul,
REL 529,Workshop in Islamic Studies,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=014757,Class #21209,S01,Th,04:30 pm - 06:00 pm,10-Apr,
REL 533 / EAS 535,Readings in Japanese Religions: Popular Buddhism in Premodern Japan,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=011643,Class #21210,S01,Th,01:30 pm - 04:20 pm,0/0,Canceled
RUS 101,Beginner's Russian I,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=006268,Class #21074,C01,M T W Th F,09:00 am - 09:50 am,16-Aug,
RUS 101,Beginner's Russian I,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=006268,Class #21075,C02,M T W Th F,10:00 am - 10:50 am,16-Oct,
RUS 101,Beginner's Russian I,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=006268,Class #21076,C03,M T W Th F,01:30 pm - 02:20 pm,16-Mar,
RUS 103,Russian for Heritage Speakers,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=010422,Class #21077,C01,M T W Th,12:30 pm - 01:20 pm,15-Sep,
RUS 105,Intermediate Russian I,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=006272,Class #21078,C01,M T W Th F,12:30 pm - 01:20 pm,15-Sep,
RUS 207,Advanced Russian Reading and Conversation I,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=006275,Class #21079,C01,M T W Th,12:30 pm - 01:20 pm,18-Dec,
RUS 305,Russian Humor,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=015659,Class #22545,S01,M W,11:00 am - 12:20 pm,18-Apr,
RUS 305,Russian Humor,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=015659,Class #22813,S02,M W,11:00 am - 12:20 pm,18-Nov,
RUS 407,Advanced Russian through Film,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=006298,Class #22118,C01,M W,11:00 am - 12:20 pm,0/0,Canceled
RUS 549,Russian for Academic Purposes I,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=013883,Class #22785,C01,T Th,11:00 am - 12:20 pm,15-Apr,
SAN 101,Elementary Sanskrit I,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=013269,Class #22242,C01,M T W Th,12:30 pm - 01:20 pm,15-Jun,
SAN 105,Intermediate Sanskrit I,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=013270,Class #22243,C01,M W,01:30 pm - 02:50 pm,15-Mar,
SAS 309 / REL 300,Hinduism: Visions and Ideas,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=015670,Class #22557,C01,T Th,01:30 pm - 02:50 pm,20-Oct,
SAS 335 / GSS 335,Gender and Performing Arts in South Asia,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=013126,Class #22248,C01,M W,11:00 am - 12:20 pm,15-May,
SAS 345 / REL 345,Islam in South Asia through Literature and Film,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=013874,Class #22244,C01,M W,01:30 pm - 02:50 pm,30-Dec,
SLA 219 / RES 219,"Pushkin, Gogol, Dostoevsky:  Introduction to the Great Russian Novel",https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=006290,Class #21719,L01,,,32/36,
SLA 303 / ART 330,"Seeing Health: Medicine, Literature, and the Visual Arts",https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=015671,Class #22558,S01,Th,01:30 pm - 04:20 pm,0/0,Canceled
SLA 307,Manuscripts Don't Burn: Works of Mikhail Bulgakov,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=015651,Class #22533,S01,T Th,03:00 pm - 04:20 pm,20-Aug,
SLA 309,Moscow: City to Myth,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=015646,Class #22528,C01,T Th,11:00 am - 12:20 pm,0/0,Canceled
SLA 401,Junior Methods Seminar,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=015672,Class #22559,S01,F,01:30 pm - 04:20 pm,10-Feb,
SLA 409,The History of Russian Rock,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=012317,Class #21717,C01,T Th,11:00 am - 12:20 pm,0/0,Canceled
SLA 505,"Ecologies of the Body: Literature, the Visual Arts, and the Environment",https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=015614,Class #22430,S01,T,01:30 pm - 04:20 pm,0/0,Canceled
SLA 547 / ART 511,Worlds of Form:  Russian Formalism and Constructivism,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=012624,Class #21913,S01,Th,01:30 pm - 04:20 pm,20-Nov,
SLA 561,Proseminar in Slavic,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=014758,Class #21718,S01,F,01:30 pm - 04:20 pm,10-Jun,
SLA 599,Slavic Dissertation Colloquium,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=010038,Class #21722,S01,F,01:30 pm - 04:20 pm,10-Mar,
SML 201,Introduction to Data Science,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=013596,Class #21411,L01,T Th,11:00 am - 12:20 pm,59/50,Closed
SML 201,Introduction to Data Science,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=013596,Class #21412,L02,T Th,03:00 pm - 04:20 pm,60/60,Closed
SML 310,Research Projects in Data Science,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=014732,Class #21392,L01,M W,07:30 pm - 08:50 pm,14/15,
SML 510,Graduate Research Seminar,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=014759,Class #21395,S01,Th,06:30 pm - 08:00 pm,12-Dec,Closed
SML 515 / SOC 516,Topics in Statistics and Machine Learning: ML with Social Data: Opportunities and Challenges,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=015513,Class #23446,S01,F,02:30 pm - 04:30 pm,13-Dec,
SOC 102,"Police Violence, #BlackLivesMatter, and the Covid-19 Pandemic",https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=015751,Class #23087,L01,T Th,11:00 am - 11:50 am,72/77,Closed
SOC 215,The Sociology of the Internet,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=015467,Class #22735,L01,,,85/90,Closed
SOC 226,Gender and Society: U.S. and Global Perspectives,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=015223,Class #20302,L01,M W,11:00 am - 11:50 am,32/45,
SOC 300,Claims and Evidence in Sociology,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=008967,Class #20249,L01,M W,10:00 am - 10:50 am,44/55,
SOC 301,Statistical Methods in Sociology,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=006408,Class #22484,S01,T Th,08:30 am - 09:50 am,20/55,
SOC 318 / EAS 378,Contemporary Japanese Society,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=015603,Class #22101,L01,,,Oct-36,
SOC 350,The Social Meaning of Money,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=015627,Class #22502,S01,W,01:30 pm - 04:20 pm,12-Nov,
SOC 400,Applied Social Statistics,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=013901,Class #20300,L01,,,11-Nov,Closed
SOC 409 / COS 409,Critical Approaches to Human Computer Interaction,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=011914,Class #21149,S01,T,01:30 pm - 04:20 pm,0/0,Canceled
SOC 500,Applied Social Statistics,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=011168,Class #20221,L01,,,17/30,
SOC 501,Classical Sociological Theory,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=006470,Class #20223,S01,T Th,10:30 am - 12:00 pm,13/20,
SOC 505,Research Seminar in Empirical Investigation,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=006561,Class #20227,S01,W,01:00 pm - 04:00 pm,13/25,
SOC 508,Proseminar (Half-Term),https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=014353,Class #20224,S01,M,10:30 am - 12:00 pm,30-Dec,
SOC 524,Criminology (Half-Term),https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=015721,Class #22811,S01,Th,01:30 pm - 04:30 pm,14/15,
SOC 529 / GSS 529,Gender and Sexuality,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=015722,Class #22812,S01,T,01:30 pm - 04:30 pm,15-Nov,
SOC 533,Ethnography for Sociologists I (Half-term),https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=013773,Class #22663,S01,F,01:30 pm - 04:30 pm,25-Sep,
SOC 560,Topics in Social Stratification (Half-Term): Sociology of Elites,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=010417,Class #20225,S01,Th,01:30 pm - 04:30 pm,11-Nov,Closed
SOC 561,American Racism (Half-Term),https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=015784,Class #23485,S01,Th,04:30 pm - 07:30 pm,12-Oct,
SPA 101,Beginner's Spanish I,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=006656,Class #20814,C01,M T W Th F,09:00 am - 09:50 am,10-Sep,
SPA 101,Beginner's Spanish I,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=006656,Class #21673,C01A,M T W Th F,09:00 am - 09:50 am,10-Sep,
SPA 101,Beginner's Spanish I,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=006656,Class #20815,C02,M T W Th F,10:00 am - 10:50 am,10-Oct,Closed
SPA 101,Beginner's Spanish I,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=006656,Class #21674,C02A,M T W Th F,10:00 am - 10:50 am,10-Oct,Closed
SPA 101,Beginner's Spanish I,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=006656,Class #21675,C02B,M T W Th F,10:00 am - 10:50 am,10-Oct,Closed
SPA 101,Beginner's Spanish I,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=006656,Class #20816,C03,M T W Th F,11:00 am - 11:50 am,10-Sep,
SPA 101,Beginner's Spanish I,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=006656,Class #20817,C04,M T W Th F,12:30 pm - 01:20 pm,10-Aug,
SPA 101,Beginner's Spanish I,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=006656,Class #21676,C04A,M T W Th F,12:30 pm - 01:20 pm,10-Oct,Closed
SPA 101,Beginner's Spanish I,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=006656,Class #21677,C04B,M T W Th F,12:30 pm - 01:20 pm,10-Jul,
SPA 101,Beginner's Spanish I,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=006656,Class #21678,C04C,M T W Th F,12:30 pm - 01:20 pm,0/10,Closed
SPA 101,Beginner's Spanish I,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=006656,Class #21679,C04D,M T W Th F,12:30 pm - 01:20 pm,10-Aug,
SPA 101,Beginner's Spanish I,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=006656,Class #20818,C05,M T W Th F,01:30 pm - 02:20 pm,10-Sep,
SPA 103,Intensive Beginner's and Intermediate Spanish,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=006660,Class #20822,C01,M T W Th F,09:00 am - 09:50 am,12-Aug,
SPA 103,Intensive Beginner's and Intermediate Spanish,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=006660,Class #23843,C01A,M T W Th F,09:00 am - 09:50 am,12-Nov,
SPA 103,Intensive Beginner's and Intermediate Spanish,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=006660,Class #20820,C02,M T W Th F,10:00 am - 10:50 am,12-Sep,
SPA 103,Intensive Beginner's and Intermediate Spanish,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=006660,Class #20866,C02A,M T W Th F,10:00 am - 10:50 am,12-Nov,
SPA 103,Intensive Beginner's and Intermediate Spanish,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=006660,Class #23698,C02B,M T W Th F,10:00 am - 10:50 am,12-Aug,
SPA 103,Intensive Beginner's and Intermediate Spanish,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=006660,Class #23762,C02C,M T W Th F,10:00 am - 10:50 am,12-Oct,
SPA 103,Intensive Beginner's and Intermediate Spanish,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=006660,Class #20821,C03,M T W Th F,12:30 pm - 01:20 pm,14/12,Closed
SPA 103,Intensive Beginner's and Intermediate Spanish,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=006660,Class #20867,C03A,M T W Th F,12:30 pm - 01:20 pm,0/0,Canceled
SPA 103,Intensive Beginner's and Intermediate Spanish,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=006660,Class #20869,C03C,M T W Th F,12:30 pm - 01:20 pm,14/12,Closed
SPA 103,Intensive Beginner's and Intermediate Spanish,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=006660,Class #20823,C04,M T W Th F,01:30 pm - 02:20 pm,0/0,Canceled
SPA 105,Intermediate Spanish,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=006662,Class #20893,C01,M W F,09:00 am - 09:50 am,10-Sep,
SPA 105,Intermediate Spanish,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=006662,Class #20894,C02,M W F,10:00 am - 10:50 am,10-Nov,Closed
SPA 105,Intermediate Spanish,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=006662,Class #20898,C02A,M W F,10:00 am - 10:50 am,10-Oct,Closed
SPA 105,Intermediate Spanish,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=006662,Class #20895,C03,M W F,11:00 am - 11:50 am,10-Nov,Closed
SPA 105,Intermediate Spanish,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=006662,Class #20896,C04,M W F,12:30 pm - 01:20 pm,10-Oct,Closed
