catalog-number,class-info,class-info href,class-info 2,class-section,class-days,time,ENRL/MAX,class-status
EGR 156,Foundations of Engineering: Multivariable Calculus,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=014731,Class #22321,L01,M W,11:00 am - 12:20 pm,23/50,
EGR 191 / MAT 191 / PHY 191,"An Integrated Introduction to Engineering, Mathematics, Physics",https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=009759,Class #22324,L01,M,11:00 am - 11:50 am,0/0,Canceled
EGR 192 / MAT 192 / PHY 192 / APC 192,"An Integrated Introduction to Engineering, Mathematics, Physics",https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=009760,Class #22329,L01,W,11:00 am - 11:50 am,0/0,Canceled
EGR 200 / ENT 200,"Creativity, Innovation, and Design",https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=012646,Class #22292,L01,M,07:30 pm - 08:50 pm,15/15,Closed
EGR 200 / ENT 200,"Creativity, Innovation, and Design",https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=012646,Class #22293,L02,T,01:30 pm - 02:50 pm,19/15,Closed
EGR 201 / ENT 201,Foundations of Entrepreneurship,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=012812,Class #22294,L01,W,01:30 pm - 04:20 pm,52/60,
EGR 219 / ENT 219 / REL 219,Business Ethics and Modern Religious Thought,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=010928,Class #22677,L01,M W,11:00 am - 11:50 am,0/0,Canceled
EGR 250,Community Project Studios: Non-credit,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=010275,Class #22295,U01,TBA,,15/25,
EGR 250,Community Project Studios: Non-credit,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=010275,Class #22296,U02,TBA,,0/0,Canceled
EGR 250,Community Project Studios: Non-credit,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=010275,Class #22297,U04,TBA,,15/1,Closed
EGR 251,Community Project Studios,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=010534,Class #22298,U01,TBA,,May-50,
EGR 251,Community Project Studios,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=010534,Class #22299,U02,TBA,,0/0,Canceled
EGR 251,Community Project Studios,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=010534,Class #22300,U03,TBA,,0/0,Canceled
EGR 251,Community Project Studios,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=010534,Class #22301,U04,TBA,,27-Mar,
EGR 301 / ENT 301,The History of Entrepreneurship,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=015219,Class #22310,L01,M W,01:30 pm - 02:50 pm,17/23,
EGR 350,Community Project Studios: Non-credit,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=010276,Class #22302,U01,TBA,,Aug-70,
EGR 350,Community Project Studios: Non-credit,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=010276,Class #22303,U02,TBA,,0/0,Canceled
EGR 350,Community Project Studios: Non-credit,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=010276,Class #22742,U04,TBA,,30-Jan,
EGR 351,Community Project Studios,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=010535,Class #22304,U01,TBA,,Jan-50,
EGR 351,Community Project Studios,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=010535,Class #22305,U02,TBA,,0/0,Canceled
EGR 351,Community Project Studios,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=010535,Class #22743,U04,TBA,,0/1,
EGR 395 / ENT 395,Venture Capital and Finance of Innovation,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=013922,Class #22307,L01,F,01:30 pm - 04:20 pm,53/45,Closed
EGR 450,Community Project Studios: Non-credit,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=010277,Class #22383,U01,TBA,,Feb-50,
EGR 450,Community Project Studios: Non-credit,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=010277,Class #22744,U04,TBA,,0/1,
EGR 451,Community Project Studios,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=010536,Class #22306,U01,TBA,,0/40,
EGR 451,Community Project Studios,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=010536,Class #22745,U04,TBA,,0/1,
EGR 488 / ENT 488,Designing Ventures To Change the World,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=013750,Class #22312,L01,,,15/40,
EGR 491 / ELE 491 / ENT 491,High-Tech Entrepreneurship,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=002518,Class #22308,L01,T,01:30 pm - 04:20 pm,23/16,Closed
EGR 494,Leadership Development for Business,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=012448,Class #22309,L01,M W,01:30 pm - 02:50 pm,44/40,Closed
ELE 201,Information Signals,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=002461,Class #23129,L01,T Th,04:30 pm - 05:50 pm,35/60,
ELE 206 / COS 306,Contemporary Logic Design,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=002463,Class #21131,L01,T Th,01:30 pm - 02:50 pm,91/175,
ELE 297,Sophomore Independent Work,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=012494,Class #21137,S01,TBA,,20-Apr,
ELE 302,Robotic and Autonomous Systems Lab,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=002472,Class #23126,L01,M W F,12:30 pm - 01:20 pm,0/0,Canceled
ELE 308,Electronic and Photonic Devices,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=002464,Class #21408,L01,M W,09:30 am - 10:50 am,0/0,Canceled
ELE 341,Solid-State Devices,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=002476,Class #21128,L01,T Th,03:00 pm - 04:20 pm,13/26,
